"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","EBOOK","2019","12","1","Love Anthony","Lisa Genova","Fiction, Literature","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","EBOOK","2019","12","4","Big Dog...Little Dog","P.D. Eastman","Beginning Reader, Juvenile Fiction, Juvenile Literature, Picture Book Fiction","Random House, Inc.","2010"
"Physical","Horizon","BOOK","2019","12","2","The encyclopedia of acrylic techniques / Hazel Harrison.","Harrison, Hazel","Acrylic painting Technique","Search,","2001."
"Physical","Horizon","BOOK","2019","12","12","The daughter of time / Josephine Tey ; with an introduction by Robert Barnard.","Tey, Josephine, 1896 or 1897-1952","Richard III King of England 1452 1485 Fiction, Grant Alan Fictitious character Fiction, Cold cases Criminal investigation Fiction, Police Great Britain Fiction, Libel and slander Fiction","Simon & Schuster,","2013."
"Physical","Horizon","BOOK","2019","12","8","Doomsday clock. Part 1 / Geoff Johns, writer ; Gary Frank, illustrator ; Brad Anderson, colorist ; Rob Leigh, letterer ; Amie Brockway-Metcalf, original issue backmatter design ; Gary Frank and Brad Anderson, collections cover artists.","Johns, Geoff, 1973-","Superheroes Comic books strips etc, Comics Graphic works, Superhero comics, Graphic novels","DC Comics,","[2019]"
"Physical","Horizon","BOOK","2019","12","1","Hollywood kids : a novel / Jackie Collins.","Collins, Jackie","Motion picture industry California Los Angeles Fiction, Youth California Los Angeles Fiction, Police New York State New York Fiction, Hollywood Los Angeles Calif Fiction, Detective and mystery fiction","Simon & Schuster,","[1994]"
"Physical","Horizon","BOOK","2019","12","4","Amelia Bedelia makes a splash / by Herman Parish ; pictures by Lynne Avril.","Parish, Herman","Amelia Bedelia Fictitious character Juvenile fiction, Summer Juvenile fiction, Camps Juvenile fiction, Humorous stories, Humorous fiction, Humorous fiction","Greenwillow Books, an imprint of HarperCollinsPublishers,","[2017]"
"Physical","Horizon","VIDEODISC","2019","12","4","Queen : a night at the Odeon : Hammersmith 1975 / Queen Productions ; directed by Tom Corcoran.","Queen (Musical group)","Rock music 1971 1980, Rock concert films, Documentary films, Rock music, Live sound recordings, Nonfiction films, Feature films","Eagle Vision","[2015]"
"Physical","Horizon","BOOK","2019","12","2","Small space living / Christine Brun.","Abdelnour, Christine Brun","Small rooms Decoration, Interior decoration","Schiffer Pub. Ltd.,","[2009]"
"Digital","OverDrive","AUDIOBOOK","2019","12","4","Band Sinister (Unabridged)","KJ Charles","Fiction, Historical Fiction, Literature, Romance","Tantor Media, Inc","2019"
"Physical","Horizon","SOUNDDISC","2019","12","1","A jazz odyssey / Oscar Peterson.","Peterson, Oscar, 1925-2007","Jazz, Piano music Jazz","Verve ; Distributed by Universal Music & Video Distribution Corp.,","[2002]"
"Physical","Horizon","BOOK","2019","12","1","Division made easy / Rebecca Wingard-Nelson ; [illustrated by Tom LaBaff].","Wingard-Nelson, Rebecca","Division Juvenile literature","Enslow Elementary,","[2005]"
"Digital","OverDrive","AUDIOBOOK","2019","12","1","Matar a un ruisenor (To Kill a Mockingbird--Spanish Edition) (Unabridged)","Harper Lee","Fiction, Literature","HarperCollins Publishers Inc.","2017"
"Physical","Horizon","BOOK","2019","12","1","Unspeakable acts : women, art, and sexual violence in the 1970s / Nancy Princenthal.","Princenthal, Nancy","Sex crimes in art, Women Crimes against, Women artists, Political art, Art Modern 20th century","Thames & Hudson,","2019."
"Physical","Horizon","VIDEODISC","2019","12","1","The address / a production of Florentine Films and WETA ; written, produced & directed by Ken Burns ; producer, Christopher Darling.",,"Lincoln Abraham 1809 1865 Gettysburg address Memorizing, Lincoln Abraham 1809 1865 Gettysburg address History, Learning disabled children Education Vermont, Oral interpretation Students Attitudes, Nonfiction films, Documentary films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Distributed by PBS Distribution,","c2014."
